"Metric","Mean","SD"
"Accuracy",0.721621428856779,0.0100553283040314
"Precision",0.23357074310848,0.0092326529811156
"Sensitivity",0.650115737920616,0.0323492174566306
"Specificity",0.730645128636786,0.0125226037315765
