"model","N","TP","TN","FP","FN","Accuracy","Precision","Sensitivity","Specificity"
"Random (0.5)",6382,350,2862,2802,368,0.50329050454403,0.111040609137056,0.487465181058496,0.505296610169492
"Mayoritaria",6382,0,5664,0,718,0.887496082732686,NA,0,1
