algorithm_name,env_n,size,best_solution,H,states,time
random,28,10,"[5, 1, 6, 0, 7, 2, 1, 9, 4, 8]",3,10000,0.046148
HC,28,10,"[0, 5, 3, 4, 9, 7, 9, 1, 6, 8]",2,5,0.001423
SA,28,10,"[8, 2, 7, 1, 3, 5, 0, 9, 4, 6]",0,1635,0.005520
GA,28,10,"[5, 2, 9, 7, 0, 7, 3, 1, 6, 4]",1,10000,0.159377
random,29,10,"[4, 7, 2, 6, 9, 1, 0, 8, 3, 1]",3,10000,0.046100
HC,29,10,"[5, 8, 4, 1, 7, 0, 2, 6, 9, 3]",1,7,0.001824
SA,29,10,"[7, 9, 1, 6, 2, 0, 7, 4, 8, 3]",1,1701,0.005804
GA,29,10,"[5, 7, 9, 0, 3, 1, 6, 8, 2, 4]",0,1900,0.029875
random,30,10,"[3, 1, 7, 4, 2, 0, 6, 9, 0, 5]",2,10000,0.045941
HC,30,10,"[2, 9, 8, 4, 7, 3, 0, 6, 1, 5]",1,6,0.001584
SA,30,10,"[3, 1, 8, 5, 9, 6, 0, 2, 4, 7]",0,1197,0.004064
GA,30,10,"[7, 2, 4, 1, 8, 0, 9, 3, 5, 9]",1,10000,0.157491
